PILOTONINA*COLL FL 10ML 2%,6756035,"2,4"
"NEOSYNEPHRINE*GTT 15ML2,5MG/ML",6769020,"7,83"
"EFFORTIL*OS GTT 15G 7,5MG/ML",6774032,"10,01"
EFFORTIL*20CPR 5MG,6774044,"7,5"
EFFORTIL*PERLONG 20CPS 25MG RP,6774057,"6,6"
CAPSOLIN*POM 40G,6903025,"6,5"
BUSCOPAN*30CPR RIV 10MG,6979025,"13,9"
BUSCOPAN*IM IV 6F 1ML 20MG,6979037,"2,99"
BUSCOPAN*6SUPP 10MG,6979049,"9,9"
BUSCOPAN*40CPR RIV 10MG,6979088,"17,9"
SACNEL*LOZ DERM 120G,7042017,"8,85"
VITAMFENICOLO*COLL 4ML,7076019,"8,4"
VITAMFENICOLO*POM OFT 4G,7076021,"7,6"
PINSELINA DR.KNAPP*PASTA 20G,7175021,"6,7"
FERRUM HAUSMANN*OS 10FL 5ML,7293020,"8,85"
OTOMIDONE*GTT OTO 10ML,7312010,"9,8"
DOLPYC*GEL 50G,7469024,"8,32"
HEDERIX PLAN*OS GTT 30ML,7645056,"13,9"
VIT C VITA*OS 10FL 10ML 1G,7780075,"7,65"
FOTOFIL*COLL FL 10ML,7877018,"11,5"
ERITROCINA*12CPR MAST 200MG,7893151,"2,63"
ERITROCINA*OS GRAT 12BUST500MG,7893163,"4,85"
ERITROCINA*OS GRAT 6BUST1000MG,7893175,"4,86"
ERITROCINA*OS SOSP 100ML 10%,7893187,"9,05"
ERITROCINA*12CPR RIV 600MG,7893199,"5,77"
LARGACTIL*IM 5F 2ML 50MG,7899014,"5,51"
LARGACTIL*25CPR RIV 25MG,7899026,"1,49"
LARGACTIL*20CPR RIV 100MG,7899038,"2,65"
LARGACTIL*OS GTT 10ML 4%,7899040,"1,14"
SEDATOL*SCIR 150G,8081034,"7,9"
SEDATOL*30CPS 265MG,8081046,"7,9"
PARACODINA SCIROPPO*FL 100G,8096024,"4,9"
SENODIN AN*SCIR FL 200ML,8143024,"7,65"
OMATROPINA LUX*COLL 1FL 9ML 1%,8243014,"10,14"
TICALMA*30CPR RIV 100MG,8290090,"9,9"
DIAMINOCILLINA*FL 600000UI+F,8298034,"2,3"
DIAMINOCILLINA*FL 1200000UI+F,8298046,"2,5"
CLOROCHINA BAYER*30CPR RIV 250,8366015,"3,98"
BIMIXIN*16CPR 25000UI+2500UI,8477061,"13,66"
BIMIXIN*SCIR FL 60ML 15000UI+,8477073,9
MURRI ANTIDOLORIFICO*10CPR,8562023,"3,4"
"FURADANTIN*OS SOSP FL 60ML0,5%",8569030,"1,81"
AMBRAMICINA*16CPS 250MG,8595062,"7,9"
FAVE DI FUCA*40CPR RIV,8637047,"7,65"
NOVALGINA*IM IV 5F 1G 2ML,8679021,"10,9"
NOVALGINA*OS GTT 20ML 500MG/ML,8679033,"10,9"
NOVALGINA*AD 5SUPP 1G,8679045,"7,5"
CAFERGOT*20CPR 1MG+100MG,8701017,"10,28"
CAFERGOT*5SUPP 2MG+100MG,8701031,11
EUPHYLLINA RILCON*30CPS 200MG,8730071,"2,89"
SEDOPUER F*SCIR 100G,8769022,"7,9"
KONAKION*EV OS 3F 10MG 1ML,8776015,"1,86"
"KONAKION*OS GTT 2,5ML 2%",8776039,"1,24"
KONAKION*20CPR RIV MAST 10MG,8776041,"3,87"
KONAKION*PR INF OS INIET 5F2MG,8776066,"8,94"
KONAKION*OS INIET 5F 10MG 1ML,8776078,"7,97"
ESAFOSFINA*EV 1FL 5G+1FL 50ML,8783110,23
ESAFOSFINA*EV FL 100ML 10G/100,8783134,21
TIOCALMINA*SCIR 200G,8883035,"12,5"
DENTINALE*PASTA GENGIVALE 25G,8891018,"14,1"
DULCOLAX*30CPR RIV 5MG,8997013,"8,45"
DULCOLAX*AD 6SUPP 10MG,8997025,"8,9"
DULCOLAX*24CPR RIV 5MG,8997052,"7,7"
DULCOLAX*40CPR RIV 5MG,8997064,"13,9"
BROMAZOLO*30CPR 5MG+250MG,9104023,8
FITOSTIMOLINE*IM 10F 1ML,9115015,21
FITOSTIMOLINE*CREMA 32G 15%,9115027,18
FITOSTIMOLINE*10GARZE 15%,9115039,20
FITOSTIMOLINE*6 OV 600MG,9115041,17
FITOSTIMOLINE*SOL VAG 5FL140ML,9115066,18
FITOSTIMOLINE*CREMA VAG 20%,9115078,"19,5"
NEOUSTIOL*POM OFT 10G,9121017,"6,5"
NORMOGIN*6CPR VAG 40MG,9132010,"16,9"
POTASSION*GRAT EFF 40BUST,9209038,16
POTASSION*GRAT EFF 30BUST,9209040,22
ALAXA*20CPR GASTR 5MG,9262015,"8,4"
DIAMOX*12CPR 250MG,9277017,"4,57"
MESTINON*20CPR 60MG,9286016,"4,65"
MESTINON*50CPR 180MG RP,9286042,"107,21"
"NOVESINA*30FL 0,5ML 4MG/ML",9324029,26
"FOSFOCRISOLO*IM 5F 56,1MG 1ML",9333093,"25,59"
MYSOLINE*30CPR 250MG,9340011,"4,55"
POLIJODURATO*COLL 10ML,9426014,"6,6"
EPAREMA*30CPR RIV 70+20+10MG,9677016,"9,9"
EPAREMA*SCIR FL 180G,9677028,"10,9"
WYCILLINA A.P.*IM 600000UI 2ML,9740010,"3,85"
WYCILLINA A.P.*IM 1200000UI 4M,9740022,"5,1"
"HALIBORANGE*OS EMULS 200G 1,5%",9755012,13
HALIBORANGE*25CPR MAST,9755036,9
ETINILESTRAD IBSA*25CPR 10MCG,9830011,"11,9"
ETINILESTRAD IBSA*25CPR 50MCG,9830023,"2,63"
VITAN*UNG OFT 5G 25000UI/100G,9896010,"10,5"
"LISENTERAL*OS 12FL 2,5ML",9919010,"8,42"
HEPARIN*COLL500000UI/100ML 5ML,9956018,"17,85"
"HEPARIN*COLL500000UI/100ML 0,5",9956020,"19,95"
COLCHICINA LIRCA*60CPR DIV 1MG,9964038,"8,6"
"COLCHICINA LIRCA*60CPR 0,5MG",9964040,"6,02"
PERITRATE*50CPR 80MG RM,10000038,"4,99"
MYCOSTATIN*OS SOSP FL 100ML,10058030,"6,34"
DELTACORTENE*10CPR 5MG,10089011,"1,62"
DELTACORTENE*10CPR 25MG,10089035,"5,87"
DELTACORTENE*20CPR 5MG,10089047,"3,25"
BIODERMATIN*30CPR 5MG,10130021,"15,2"
BIODERMATIN*GRAT 30BUST 20MG,10130060,"65,67"
BIODERMATIN*GRAT EFF 10BUST20M,10130072,"21,42"
MYCETIN*COLL LIOF+FL 10ML SOLV,10174035,"7,7"
OZOPULMIN*IM IV 6F 5ML 20MG,10226025,"5,9"
OZOPULMIN*AD 10SUPP 160+150MG,10226049,"7,8"
OZOPULMIN*BB 10SUPP 80+100MG,10226052,"6,2"
OZOPULMIN*PRIMA INFANZIA10SUPP,10226064,"5,3"
OZOPULMIN*SCIR FL 125ML,10226215,"6,5"
DOLODERM*CREMA 40G 30%,10273011,7
ANTIADIPOSO*60CPR RIV,10292011,"14,98"
VASOSTERONE*BB GTT NAS 20ML,10316014,3
VASOSTERONE*AD GTT NAS 10ML,10316040,"3,4"
ALBUMINA UM.IMMUNO*50ML 20%+S.,10317028,"43,49"
"CORTIDRO*CREMA 20G 0,5%",10318032,"15,9"
PURINETHOL*25CPR 50MG FL,10344012,"30,34"
HIRUDOID 25000UI*CREMA 40G,10386011,"15,5"
HIRUDOID 25000UI*GEL 40G,10386023,"15,5"
HIRUDOID 40000UI*CREMA 50G,10386062,"16,5"
HIRUDOID 40000UI*GEL 50G,10386074,"16,5"
HIRUDOID 40000UI*GEL 100G,10386100,24
EUCARBON*30CPR,10410037,6
DERMOVITAMINA*UNG DERM 30G 40%,10419051,6
CORTISON CHEMICETINA*UNG OFT3G,10495048,"7,42"
CORTISON CHEMICETINA*UNG 20G,10495051,"13,03"
CORYFIN SEDATIVO FLUIDIF*SCIR,10519078,"10,9"
FUROTRICINA*6 OV VAG,10637039,18
ETILTOX*30CPR 200MG,10681029,"9,23"
TIOGUAIALINA*SCIR 175G,10723029,"7,3"
ABIOSTIL*UNG NAS 10G,10772022,"21,6"
PIRALDINA*50CPR 500MG,10800011,"6,97"
ATARAX*SCIR FL 150ML 20MG/10ML,10834012,"8,45"
ATARAX*20CPR RIV DIV 25MG,10834024,"11,03"
PROZIN*25CPR RIV 25MG,10852022,"1,03"
PROZIN*OS GTT 10ML 4%,10852034,"1,19"
PROZIN*20CPR RIV 100MG,10852046,"2,1"
"OSTELIN*OS IM 2F 1,5ML400000UI",10861019,"4,24"
RINOSTIL*GTT RIN FL 30ML,11033014,"9,1"
STREPTOMAGMA*OS SOSP FL 90ML,11068032,"12,55"
SEDOCALCIO*U.EST.SOLUZ 100ML,11073020,"9,1"
BLEFAROLIN*POM OFT 10G,11074010,"5,2"
MIONEVRASI*IM 5F+5F 3ML,11125034,"24,29"
CITROPIPERAZINA*20BUST EFF 6G,11172020,"3,74"
AMINOMAL*INIET 3F 240MG 10ML,11226026,"1,75"
AMINOMAL*20CPR RIV 200MG,11226040,"2,04"
"AMINOMAL*OS SOLUZ 200ML 0,67%",11226091,"2,48"
AMINOMAL R*20CPR DIV 600MG RP,11226127,"4,8"
AMINOMAL*INIET 6F 350MG 2ML,11226139,"4,6"
COLIMICINA*FL 1000000U4ML+F,11297013,"7,7"
COLIMICINA*OS GTT 4000000U 4ML,11297049,"3,69"
TRONOTENE*CREMA 30G 1%,11351018,"9,65"
DETOXICON*30CPR RIV,11355070,"12,5"
KINOGEN*LAV VAG 10FL 10ML,11378027,13
OROBICIN*16CPR 300MG,11431018,"12,5"
ALBUMINA UMANA BEHR*IV 50ML20%,11544020,"43,49"
FOLEPAR B12*10FL SCIR 12G,11578010,"14,8"
ARICODILTOSSE*OS GTT 25ML,11680067,"12,5"
QUANIL*24CPR 400MG,11771019,"8,84"
SINTROM*20CPR 4MG,11782012,"2,03"
SINTROM*20CPR 1MG,11782024,"1,91"
SORBICLIS*AD SOLUZ RETT 120ML,11825015,"5,2"
SORBICLIS*BB SOLUZ RETT 120ML,11825027,"5,2"
CONFETTI LASSAT GIUL CM*20CONF,11899059,"5,5"
VASOSTERONE OTO*GTT 10ML,11986027,"4,49"
LYSEEN*30CPR 4MG,11987017,"11,69"
LYSEEN*INIET 5F 1ML 2MG/ML,11987029,"11,69"
LYSEEN*6SUPP 6MG,11987031,"9,4"
MEMOVIT B12*OS SCIR 6FL,12046025,9
SALAZOPYRIN EN*100CPR 500MG,12048031,"14,91"
SALAZOPYRIN EN*100CPR 500MG FL,12048043,"14,91"
DEQUADIN*SOLXMUCOSA OS 28ML,12235026,"12,9"
"DEQUADIN*20CPR 0,25MG",12235040,"8,9"
"FERRITIN OTI*AD 10FL 8ML62,5MG",12238061,"12,42"
"FERRITIN OTI*20CPS 62,5MG",12238073,"15,53"
FERRITIN OTI*SCIR FL 240ML+MIS,12238085,"4,8"
